threshold,rewiring_probability,clustered,high_degree,mean_average_clustering,mean_average_degree,number_of_runs,strategy_difference,clustered_outperforms,clustering_level
0.2,0.1,1.0,0.9804,0.47624890354090355,8.0,100,0.01959999999999995,True,highly_clustered
0.2,0.2,1.0,1.0,0.3439572423132423,8.0,100,0.0,False,weakly_clustered
0.2,0.4,1.0,1.0,0.15155740415140412,8.0,100,0.0,False,weakly_clustered
0.2,0.8,0.9620399999999999,1.0,0.019103238957121255,8.0,100,-0.037960000000000105,False,weakly_clustered
0.2,1.0,0.84608,1.0,0.0138149672401901,8.0,100,-0.15391999999999995,False,weakly_clustered
0.25,0.0,1.0,1.0,0.6428571428571429,8.0,100,0.0,False,highly_clustered
0.25,0.01,1.0,0.9804,0.6262239365079365,8.0,100,0.01959999999999995,True,highly_clustered
0.25,0.05,1.0,1.0,0.5560889494949495,8.0,100,0.0,False,highly_clustered
0.25,0.1,1.0,0.9804,0.47624890354090355,8.0,100,0.01959999999999995,True,highly_clustered
0.25,0.2,1.0,1.0,0.3439572423132423,8.0,100,0.0,False,weakly_clustered
0.25,0.4,0.90424,0.98048,0.15155740415140412,8.0,100,-0.07623999999999997,False,weakly_clustered
0.25,0.8,0.03268,0.65916,0.019103238957121255,8.0,100,-0.6264799999999999,False,weakly_clustered
0.25,1.0,0.03304,0.5990800000000001,0.0138149672401901,8.0,100,-0.5660400000000001,False,weakly_clustered
0.3,0.0,1.0,1.0,0.6428571428571429,8.0,100,0.0,False,highly_clustered
0.3,0.01,1.0,0.3336,0.6262239365079365,8.0,100,0.6664,True,highly_clustered
0.3,0.05,1.0,0.41408,0.5560889494949495,8.0,100,0.58592,True,highly_clustered
0.3,0.1,0.89244,0.26584,0.47624890354090355,8.0,100,0.6266,True,highly_clustered
0.3,0.2,0.44628,0.28832,0.3439572423132423,8.0,100,0.15796,True,weakly_clustered
0.3,0.4,0.03304,0.033319999999999995,0.15155740415140412,8.0,100,-0.00027999999999999553,False,weakly_clustered
0.3,0.8,0.02384,0.02556,0.019103238957121255,8.0,100,-0.0017199999999999993,False,weakly_clustered
0.3,1.0,0.023559999999999998,0.02648,0.0138149672401901,8.0,100,-0.0029200000000000025,False,weakly_clustered
0.35,0.0,1.0,1.0,0.6428571428571429,8.0,100,0.0,False,highly_clustered
0.35,0.01,1.0,0.3336,0.6262239365079365,8.0,100,0.6664,True,highly_clustered
0.35,0.05,0.8934799999999999,0.32628,0.5560889494949495,8.0,100,0.5671999999999999,True,highly_clustered
0.35,0.1,0.281,0.04536,0.47624890354090355,8.0,100,0.23564000000000002,True,highly_clustered
0.35,0.2,0.055999999999999994,0.0258,0.3439572423132423,8.0,100,0.030199999999999994,True,weakly_clustered
0.35,0.4,0.02496,0.021400000000000002,0.15155740415140412,8.0,100,0.003559999999999997,True,weakly_clustered
0.35,0.8,0.02176,0.022479999999999997,0.019103238957121255,8.0,100,-0.000719999999999995,False,weakly_clustered
